"","id","expr","polarity","list","primetype","setup","question","response","type","truefalse_question","truefalse_answer"
"1","presents","about","negative",1,"primed","This year at Christmas, Suzy got about   12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>No. <b> Timmy didn't get about   12 presents from his relatives","critical","na","na"
"2","builders","between","positive",1,"primed","Last year, the construction company built between   70  and  80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>Yes. <b> The company has constructed between   70  and  80 houses this year","critical","na","na"
"3","jobposting","morethan","negative",1,"primed","The last time we advertised a job opening, more than   30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>No. <b> We haven't received more than   30 applications for the current job","critical","na","na"
"4","algebra","atleast","positive",1,"primed","We predicted that at least   40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>Yes. <b> There are at least   40 sophomores registered for the class","critical","na","na"
"5","chairs","some","negative",1,"primed","This evening,  committee members will be coming for the planning meeting","Are there some seats in the meeting room?","</b>No. <b> We haven't set up some chairs in the meeting room","critical","na","na"
"6","journalist","any","positive",1,"primed","The famous journalist has published  in-depth articles in The New York Times","Has she published any articles in The Washington Post?","</b>Yes. <b> The journalist has written any articles for The Washington Post","critical","na","na"
"7","tulips","bare","negative",1,"primed","There are    40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>No. <b> We don't have space to plant    40 tulip bulbs","critical","na","na"
"8","tickets","about","positive",1,"primed","There are about   20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>Yes. <b> We have about   20 tickets available","critical","na","na"
"9","nominees","between","negative",1,"primed","The teachers have nominated between   15  and  20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>No. <b> We don't have the money for between   15  and  20 scholarships","critical","na","na"
"10","salesmeeting","morethan","positive",1,"primed","In two weeks, more than   60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>Yes. <b> We've made more than   60 hotel reservations","critical","na","na"
"11","exam","atleast","negative",1,"primed","If a student's exam paper contains at least   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>No. <b> There weren't at least   10 spelling errors in his exam","critical","na","na"
"12","voting","some","positive",1,"primed","The Board of Elections predicted that  overseas voters would vote by mail","Have some absentee ballots already been mailed in?","</b>Yes. <b> We've received some absentee ballots","critical","na","na"
"13","delegates","any","negative",1,"primed","This afternoon,  delegates will be arriving to attend the convention","Do we have any copies of the agenda for them?","</b>No. <b> We haven't printed any copies of the agenda","critical","na","na"
"14","cakes","bare","positive",1,"primed","The hotel has ordered    8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>Yes. <b> The baker has made    8 chocolate cakes","critical","na","na"
"15","builders","about","negative",2,"primed","Last year, the construction company built about   80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>No. <b> The company hasn't constructed about   80 houses this year","critical","na","na"
"16","jobposting","between","positive",2,"primed","The last time we advertised a job opening, between   25  and  30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>Yes. <b> We've received between   25  and  30 applications for the current job","critical","na","na"
"17","algebra","morethan","negative",2,"primed","We predicted that more than   40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>No. <b> There aren't more than   40 sophomores registered for the class","critical","na","na"
"18","chairs","atleast","positive",2,"primed","This evening, at least   16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>Yes. <b> We've set up at least   16 chairs in the meeting room","critical","na","na"
