id,setup,question_neutral,question_primed,question_some,question_any,response_pos,response_neg,num,n_between
delegates,"This afternoon, EXPR delegates will be arriving to attend the convention",How many copies of the agenda do we have for them?,Do we have enough copies of the agenda for them? ,Do we have some copies of the agenda for them?,Do we have any copies of the agenda for them?,We've printed EXPR copies of the agenda,We haven't printed EXPR copies of the agenda,20,15
cakes,The hotel has ordered EXPR large chocolate cakes for the party tonight,How many cakes have we baked so far?,Have we baked enough cakes to fill their order?,Have we baked some cakes to fill their order?,Have we baked any cakes to fill their order?,The baker has made EXPR chocolate cakes,The baker hasn't made EXPR chocolate cakes,8,6
presents,"This year at Christmas, Suzy got EXPR presents from her aunts, uncles and cousins",How generous were the relatives to her sister Tammy?,Were the relatives equally generous to her sister Tammy?,Did her sister Tammy also get some presents from her relatives?,Did her sister Tammy get any presents from her relatives?,Tammy got EXPR presents from her relatives,Tammy didn't get EXPR presents from her relatives,15,10
builders,"Last year, the construction company built EXPR houses in all across the country",How has the company's performance been this year?,Is the company's performance similar this year?,Has the company also completed some houses this year?,Has the company completed any houses this year?,The company has built EXPR houses this year,The company hasn't built EXPR houses this year,80,70
jobposting,"The last time we advertised a job opening, EXPR people applied from all over the country",How many people have applied to the currently advertised job?,Are we seeing similar results for the currently advertised job?,Have some people already applied to the currently advertised job?,Has anyone applied so far to the currently advertised job?,We've received EXPR applications for the current job opening,We haven't received EXPR applications for the current job opening,30,20
algebra,We predicted that EXPR sophomores would register for the advanced algebra class,How many sophomores have registered so far?,Are the registrations in line with what we expected?,Have some sophomores already registered?,Have any sophomores registered so far?,There are EXPR sophomores registered for the class ,There aren't EXPR sophomores registered for the class,40,30
chairs,"This evening, EXPR committee members will be coming for the  planning meeting",How many seats are there in the meeting room?,Do we have enough seats in the meeting room?,Are there some seats in the meeting room?,Are there any seats in the meeting room?,We've set up EXPR chairs in the meeting room,We haven't set up EXPR chairs in the meeting room,16,14
journalist,The famous journalist has published EXPR in-depth articles in the New York Times,How frequently has her work appeared in the Washington Post?,Has her work appeared as frequently in The Washington Post?,Has she also published some articles in The Washington Post?,Has she published any articles in the Washington Post?,The journalist has written EXPR articles for the Washington Post,The journalist hasn't written EXPR articles for the Washington Post,15,10
tulips,We have space in the garden to plant EXPR tulips,How many tulip bulbs did we buy?,Is that enough for the tulip bulbs that we bought?,Did we buy some tulip bulbs?,Did we buy any tulip bulbs?,We bought EXPR tulip bulbs,We didn't buy EXPR tulip bulbs,40,30
tickets,We have EXPR free concert tickets available for listeners who call the station today,How many listeners have called so far?,Is that enough for all the listeners who have called so far?,Have some listeners already called?,Have any listeners called so far?,We've gotten calls from EXPR listeners,We haven't gotten calls from EXPR listeners,20,15
nominees,Our high school has money for EXPR scholarships to graduating seniors nominated by their peers,How many students have been nominated so far?,Is that enough for the students who have been nominated so far?,Have some students already been nominated?,Have any students been nominated so far?,The student body has thought of EXPR seniors to nominate,The student body hasn't nominated EXPR seniors,20,15
salesmeeting,"In two weeks, EXPR regional employees will be flying to company headquarters for the annual sales meeting",How many hotel rooms have we booked for them?,Have we booked hotel rooms for them?,Have we booked some hotel rooms for them?,Have we booked any hotel rooms for them?,We've made EXPR hotel reservations,We haven't made EXPR hotel reservations,60,50
exam,"If a student's exam paper contains EXPR misspelled words, it may need to be rewritten",How many misspelled words were there in Connor's exam paper?,Will Connor's exam paper need to be rewritten?,Did Connor's exam paper have some misspelled words?,Did Connor's exam paper have any misspelled words?,There were EXPR spelling errors in his exam,There weren't EXPR spelling errors in his exam,10,5
voting,The Board of Elections predicted that EXPR overseas voters would vote by mail,How many absentee ballots have been mailed in so far?,Is that how many absentee ballots have been mailed in?,Have some absentee ballots already been mailed in?,Have any absentee ballots been mailed in so far?,We've received EXPR absentee ballots ,We haven't received EXPR absentee ballots,200,150
